Designator,Mid X,Mid Y,Rotation,Layer
C1,112.0,-94.0,0.0,top
C2,112.0,-92.0,0.0,top
C3,111.5,-107.0,0.0,top
C4,111.6,-104.8,0.0,top
C5,88.0,-94.0,0.0,top
C6,110.294888,-99.0,0.0,top
C7,87.5,-143.5,0.0,top
D1,119.0,-104.775,90.0,top
D2,119.0,-137.775,90.0,top
D3,81.0,-102.225,270.0,top
D4,81.0,-135.225,270.0,top
D5,100.0,-165.0,0.0,top
J1,88.5,-102.25,270.0,top
Q1,87.3625,-140.45,180.0,top
R1,88.0,-95.5,0.0,top
R2,100.0,-163.5,0.0,top
R3,87.5,-134.5,0.0,top
R4,87.5,-136.0,0.0,top
R5,112.5,-112.88,270.0,top
R6,118.0,-128.12,90.0,top
R7,81.5,-112.88,270.0,top
R8,87.5,-128.12,90.0,top
SW1,100.0,-89.0,180.0,top
U1,100.0,-82.39,0.0,bottom
U2,99.5,-100.15,270.0,top
